customer_id,age,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,annual_income_was_missing,gender_encoded,education_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,employment_type_Self-Employed,employment_type_Unemployed,join_year,join_month,join_day,join_weekday,income_bin,income_quantile_bin,credit_score_above_700,transaction_cluster,annual_income_log,loan_amount_sqrt,annual_income_yeojohnson,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
C1000,59.0,744030.94,317948.42,664.5224752,2,150,80.45,0,0,2,1.0,False,True,False,False,False,False,True,False,True,2019,4,2,1,2,3,0,2,13.519839243001284,563.8691514881799,0.7404514930230133,0.4273,25.0,0.8045
C1001,49.0,1203457.09,550580.94,712.6953728,5,35,33.45,1,0,1,1.0,False,True,False,True,False,False,False,True,False,2018,4,13,4,4,3,1,1,14.000709712167255,742.0114150065348,1.8392911871460735,0.4575,5.83,0.3345
C1002,35.0,488693.29,127668.66,577.0954632,3,123,80.98,0,0,0,1.0,False,True,False,False,True,False,False,False,False,2021,1,31,6,1,1,0,2,13.099492399130236,357.3075146145124,-0.15720315640800203,0.2612,20.5,0.8098
C1003,28.0,638431.4485222222,358062.0,680.0745158817778,1,98,90.53,1,1,1,2.0,False,False,False,False,True,False,False,False,False,2020,9,30,2,2,2,0,0,13.36677115171173,598.3828206090145,0.40699608708923724,0.5608,16.33,0.9053
C1004,41.0,343915.13,249095.35,588.5132104,7,34,45.18,0,0,1,1.0,False,False,True,False,True,False,False,False,False,2020,7,3,4,0,0,0,1,12.748153098489965,499.0945301243042,-0.8652257785954279,0.7243,5.67,0.4518
C1005,40.31739130434783,530145.59,144143.86,640.0686486114522,6,59,59.74,1,0,0,3.0,False,False,False,False,False,False,False,False,False,2019,7,26,4,1,1,0,0,13.180908832191411,379.66282409527537,0.012267303524355807,0.2719,9.83,0.5974
C1006,39.0,293491.35,138132.75,604.479308,2,109,69.37,0,0,2,2.0,False,False,True,False,False,False,True,True,False,2019,2,24,6,0,0,0,2,12.58960685317465,371.6621449650206,-1.1727026179868905,0.4707,18.17,0.6937
C1007,43.0,743263.7,554866.68,640.0686486114522,5,45,25.96,0,0,0,2.0,False,True,False,False,False,True,False,False,True,2024,2,12,0,2,3,0,1,13.51880751866678,744.8937373880922,0.7381781547088625,0.7465,7.5,0.2596
C1008,31.0,720398.46,496052.4,596.6318768,2,78,57.06,0,0,0,1.0,True,False,False,False,False,True,False,False,False,2018,12,23,6,2,3,0,0,13.487561142700093,704.3098749840159,0.6694953403217745,0.6886,13.0,0.5706
C1009,31.0,593198.06,303599.2,687.4558448,1,81,47.04,0,0,0,2.0,False,True,False,False,True,False,False,False,False,2024,8,15,3,1,2,0,0,13.2932853046189,550.9983666037496,0.249611179907096,0.5118,13.5,0.4704
C1010,44.0,483725.32,320682.25,679.6980256,6,89,85.43,1,0,1,2.0,False,False,True,False,False,False,True,False,False,2022,9,25,6,1,1,0,0,13.089274571223601,566.2881333738153,-0.17832589852287314,0.6629,14.83,0.8543
C1011,56.0,702850.9,360995.65,596.228072,0,108,85.75,0,0,1,3.0,False,False,False,True,False,False,False,False,False,2018,5,11,4,2,2,0,2,13.462901480035763,600.8291354453444,0.61551784866686,0.5136,18.0,0.8575
C1012,44.0,755595.93,222791.54,672.4476744,5,83,72.56,0,0,0,3.0,False,True,False,False,False,True,False,False,False,2018,5,3,3,2,3,0,0,13.535263351604943,472.00798722055544,0.7744795444055397,0.2949,13.83,0.7256
C1013,23.0,627943.05,172584.92,582.235444,7,88,69.18,1,0,1,2.0,False,False,False,False,True,False,False,True,False,2019,1,19,5,2,2,0,0,13.350206349124688,415.4334122335371,0.37136743812343864,0.2748,14.67,0.6918
C1014,42.0,237629.8,77577.07,572.3327784,0,137,75.03,0,0,0,3.0,False,False,False,False,False,True,False,True,False,2020,6,14,6,0,0,0,2,12.378473487699061,278.52660555142666,-1.5709643162066178,0.3265,22.83,0.7503
C1015,22.0,316914.61,130110.33,645.3531688,3,128,47.45,1,0,0,3.0,False,False,False,False,False,True,False,False,False,2020,8,10,0,0,0,0,2,12.666390802907003,360.7080952792715,-1.0247054719132505,0.4106,21.33,0.4745
C1016,44.0,421918.1,319947.9,672.753448,6,36,50.34,0,0,1,3.0,False,True,False,False,False,True,False,False,False,2023,9,1,4,1,1,0,1,12.952568868479036,565.6393727455684,-0.45783487586932303,0.7583,6.0,0.5034
C1017,50.0,217143.78,147615.87,572.3327784,4,10,61.53,1,0,1,1.0,False,False,False,False,True,False,False,False,True,2024,10,1,1,0,0,0,1,12.288319598991096,384.20810767082986,-1.7372130569094117,0.6798,1.67,0.6153
C1018,58.0,553048.91,254226.04,587.2439128,2,98,90.35,0,0,0,1.0,False,False,False,False,True,False,False,False,False,2018,4,19,3,1,1,0,0,13.223203529596457,504.20832995895654,0.10112585971165086,0.4597,16.33,0.9035
C1019,22.0,1062412.54,526793.04,655.9930032,5,30,74.3,0,0,1,1.0,False,True,False,False,False,False,False,False,False,2024,4,17,2,4,3,0,1,13.87605380235201,725.805097805189,1.5467784218446572,0.4958,5.0,0.743
C1020,41.0,973282.54,349764.34,690.8626032,7,41,61.32,0,0,0,2.0,False,False,False,False,False,False,False,False,False,2020,3,25,2,3,3,0,1,13.788430726733518,591.4087757211589,1.3444176714030571,0.3594,6.83,0.6132
C1021,53.0,734389.18,457239.35,642.7511344,2,17,77.78,0,0,1,2.0,False,True,False,False,False,False,False,False,False,2024,2,11,6,2,3,0,1,13.506795746739325,676.194757447882,0.7117368869103677,0.6226,2.83,0.7778
C1022,32.0,1203457.09,726578.19,712.6953728,3,97,47.82,0,0,0,2.0,False,False,True,False,False,True,False,False,False,2022,9,15,3,4,3,1,0,14.000709712167255,852.3955595848678,1.8392911871460735,0.6037,16.17,0.4782
C1023,42.0,1203457.09,567721.74,712.6953728,3,29,74.79,0,0,1,3.0,False,False,True,False,False,False,True,True,False,2020,6,21,6,4,3,1,1,14.000709712167255,753.4731182995183,1.8392911871460735,0.4717,4.83,0.7479
C1024,45.0,777722.54,175059.88,708.2178032,2,145,50.8,1,0,0,3.0,False,False,True,False,True,False,False,False,False,2023,1,14,5,2,3,1,2,13.564126392966106,418.4015774348849,0.8383681248956419,0.2251,24.17,0.508
C1025,47.0,813498.72,467219.46,705.0798976,5,24,40.97,1,0,1,3.0,False,False,False,False,False,False,False,False,False,2024,8,10,5,3,3,1,1,13.609100861449406,683.5345346067015,0.9384729484656548,0.5743,4.0,0.4097
C1026,48.0,221592.84,119107.76,643.7274272,7,76,65.73,1,0,1,2.0,True,False,False,False,False,False,True,True,False,2021,2,13,5,0,0,0,0,12.308601435634964,345.11992118682457,-1.7000081702118506,0.5375,12.67,0.6573
C1027,36.0,1017694.5,449086.9,640.0686486114522,6,119,71.52,1,0,1,2.0,True,False,False,False,False,False,False,False,False,2018,1,27,5,4,3,0,2,13.833051315434961,670.1394630970482,1.4471338253046426,0.4413,19.83,0.7152
C1028,35.0,608756.45,356936.04,664.700516,1,131,54.45,1,0,0,2.0,False,False,False,False,False,False,False,False,True,2019,10,16,2,2,2,0,2,13.319175191497068,597.4412439729952,0.3048616305258528,0.5863,21.83,0.5445
C1029,40.31739130434783,467950.88,248186.16,666.4360704,6,30,62.41,1,0,0,1.0,True,False,False,False,False,False,True,False,True,2022,9,28,2,1,1,0,1,13.056120749100572,498.18285799493344,-0.2466402061491173,0.5304,5.0,0.6241
C1030,57.0,408316.97,143053.42,646.6653576,1,58,72.05,1,0,1,1.0,False,True,False,False,False,False,False,False,False,2021,10,25,0,1,1,0,0,12.91980148809524,378.22403413849844,-0.5239831194091021,0.3503,9.67,0.7205
C1031,27.0,361592.26,158607.88,593.9273808,7,143,77.58,0,0,1,2.0,True,False,False,False,False,True,False,True,False,2021,2,12,4,0,1,0,2,12.798275267945913,398.25604829054384,-0.7664886898803758,0.4386,23.83,0.7758
C1032,41.0,976009.19,445907.51,674.0807351999999,4,129,87.17,1,0,1,2.0,False,False,False,False,False,True,False,False,False,2019,9,29,6,3,3,0,2,13.791228305914498,667.7630642675589,1.3508374710061317,0.4569,21.5,0.8717
C1033,29.0,481375.35,350512.88,614.510028,6,15,46.59,1,0,0,3.0,False,False,False,False,False,True,False,False,True,2020,5,31,6,1,1,0,1,13.08440467557965,592.0412823443987,-0.18838176338215074,0.7281,2.5,0.4659
C1034,59.0,369009.18,726578.19,584.5207344,7,31,91.36,0,0,0,1.0,False,True,False,True,False,False,False,False,False,2021,10,10,6,0,1,0,1,12.818579510718001,852.3955595848678,-0.7262788338174164,1.969,5.17,0.9136
C1035,40.31739130434783,638431.4485222222,469758.38,603.0745158817778,2,98,67.8,0,1,1,2.0,False,False,True,False,False,False,False,False,True,2019,2,23,5,2,2,0,0,13.36677115171173,685.3892178900978,0.40699608708923724,0.7358,16.33,0.678
C1036,24.0,537040.79,339144.92,598.9632632,2,87,79.08,0,0,1,2.0,False,False,False,True,False,False,False,True,False,2019,1,15,1,1,1,0,0,13.193831191692137,582.3615028485314,0.03935654583356434,0.6315,14.5,0.7908
C1037,45.0,401199.73,221059.3,574.0959784,5,38,72.48,1,0,1,2.0,False,True,False,False,True,False,False,False,False,2022,4,6,2,0,1,0,1,12.902217154609637,470.16943754353065,-0.5593470533806939,0.551,6.33,0.7248
C1038,34.0,353887.54,217130.17,572.3327784,2,42,35.42,1,0,1,2.0,True,False,False,False,False,False,True,False,False,2019,2,1,4,0,0,0,1,12.776737283780424,465.9722845835362,-0.8090080390726149,0.6136,7.0,0.3542
C1039,29.0,228619.47,174543.09,597.2895576,5,91,25.36,0,0,1,2.0,True,False,False,False,True,False,False,False,True,2022,1,10,0,0,0,0,0,12.339818571390795,417.7835444341962,-1.6425217830589303,0.7635,15.17,0.2536
