customer_id,age,gender,region,income,education_level,signup_date
CUST-0001,,Male,South,47536.17,Primary,2019-06-09
CUST-0002,33.0,Male,North,77221.25,Secondary,2021-05-03
CUST-0003,22.0,Male,South,,Secondary,2021-08-31
CUST-0004,53.0,Male,South,54174.65,Graduate,2020-12-28
CUST-0005,52.0,Female,East,81447.74,Secondary,2024-02-06
CUST-0006,28.0,Male,South,75707.37,Secondary,2023-10-28
CUST-0007,26.0,Female,East,36758.72,Graduate,2020-12-10
CUST-0008,64.0,Female,North,35651.97,Graduate,2019-01-16
CUST-0009,62.0,Male,North,106450.72,Post-Graduate,2022-10-15
CUST-0010,59.0,Female,South,36971.51,Graduate,2020-02-06
CUST-0011,64.0,Female,West,30757.21,Graduate,2024-07-24
CUST-0012,54.0,Other,North,33429.9,Post-Graduate,2024-08-03
CUST-0013,56.0,Female,North,31547.67,Post-Graduate,2021-09-12
CUST-0014,,Female,South,39592.01,Graduate,2020-08-02
CUST-0015,38.0,Male,South,110719.86,Secondary,2020-10-19
CUST-0016,30.0,,East,44964.57,Graduate,2022-06-16
CUST-0017,59.0,Male,South,52641.42,Graduate,2019-11-29
CUST-0018,23.0,Female,West,86009.99,Graduate,2019-06-03
CUST-0019,56.0,Male,East,55898.69,Graduate,2019-02-06
CUST-0020,55.0,Male,West,146724.39,Graduate,2022-07-01
CUST-0021,36.0,Female,West,41237.54,Secondary,2023-10-03
CUST-0022,24.0,Female,North,33723.04,Secondary,2020-12-15
CUST-0023,62.0,Female,North,22215.32,Secondary,2021-08-24
CUST-0024,,Male,North,,Primary,2021-06-29
CUST-0025,23.0,Female,North,23108.38,Graduate,2021-02-07
CUST-0026,34.0,Male,West,93603.67,Graduate,2021-02-21
CUST-0027,53.0,Other,North,34053.48,Graduate,2019-02-03
CUST-0028,45.0,Other,North,64032.19,Post-Graduate,2021-04-29
CUST-0029,51.0,Male,West,128147.24,Post-Graduate,2022-03-13
CUST-0030,30.0,Female,South,36612.08,Graduate,2021-06-07
CUST-0031,36.0,Female,West,28529.83,Graduate,2021-02-04
CUST-0032,33.0,Male,South,53817.18,Post-Graduate,2023-08-15
CUST-0033,24.0,Female,North,75101.11,Primary,2023-05-17
CUST-0034,38.0,Male,North,52364.07,Graduate,2024-09-01
CUST-0035,44.0,Male,East,39647.48,Secondary,2020-10-22
CUST-0036,46.0,Male,East,64024.87,Graduate,2024-08-07
CUST-0037,27.0,Male,South,39445.71,Secondary,2021-09-22
CUST-0038,34.0,Female,West,104367.32,Secondary,2022-05-16
CUST-0039,63.0,Male,East,30672.09,Graduate,2024-11-06
CUST-0040,18.0,Male,North,61291.24,Post-Graduate,2024-07-06
CUST-0041,23.0,Male,East,40960.0,Secondary,2021-01-25
CUST-0042,23.0,Other,South,50395.05,Graduate,2024-11-09
CUST-0043,61.0,Male,West,86136.95,Graduate,2023-08-17
CUST-0044,53.0,Female,South,37208.93,Secondary,2021-04-09
CUST-0045,22.0,Male,North,42825.13,Graduate,2022-12-10
CUST-0046,30.0,Male,North,60792.19,Graduate,2020-11-06
CUST-0047,48.0,Female,West,113800.63,Graduate,2024-12-08
CUST-0048,,Male,West,,Graduate,2022-12-08
CUST-0049,30.0,Female,West,,Graduate,2023-01-03
CUST-0050,56.0,Female,South,48469.51,Graduate,2022-06-30
CUST-0051,43.0,Male,West,47351.26,Primary,2024-12-16
CUST-0052,50.0,Male,West,74035.13,Post-Graduate,2019-12-02
CUST-0053,44.0,Male,East,38093.73,Secondary,2021-05-11
CUST-0054,50.0,Other,South,102226.13,Graduate,2019-12-21
CUST-0055,43.0,Female,South,53671.2,Primary,2019-08-21
CUST-0056,33.0,Male,North,56178.14,Secondary,2019-03-09
CUST-0057,20.0,Female,West,51619.4,Graduate,2019-08-22
CUST-0058,25.0,Male,North,64034.94,Post-Graduate,2023-03-31
CUST-0059,51.0,Other,East,44048.61,Secondary,2021-02-14
CUST-0060,26.0,Male,South,32768.62,Post-Graduate,2021-12-22
CUST-0061,57.0,Female,North,28802.28,Graduate,2024-08-21
CUST-0062,48.0,Female,West,38303.42,Graduate,2024-12-09
CUST-0063,42.0,Male,North,43241.81,Secondary,2019-10-15
CUST-0064,43.0,Male,West,45014.93,Graduate,2021-09-16
CUST-0065,61.0,Male,North,38462.91,Post-Graduate,2023-11-21
CUST-0066,,,North,62683.84,Secondary,2023-02-24
CUST-0067,,Female,East,85231.63,Post-Graduate,2022-03-20
CUST-0068,46.0,Female,West,59247.62,Secondary,2023-10-04
CUST-0069,32.0,Female,East,100401.41,Graduate,2023-06-12
CUST-0070,57.0,Female,South,89981.34,Graduate,2024-09-23
CUST-0071,23.0,Female,West,,Secondary,2020-09-18
CUST-0072,61.0,Other,West,51626.17,Secondary,2021-04-05
CUST-0073,36.0,Male,East,,Graduate,2021-02-20
CUST-0074,57.0,Male,North,47972.04,Secondary,2019-12-08
CUST-0075,50.0,Female,South,32254.64,Graduate,2021-04-12
CUST-0076,22.0,Female,North,39327.31,Primary,2024-12-24
CUST-0077,52.0,Female,West,20314.93,Secondary,2020-08-22
CUST-0078,50.0,Female,South,159663.53,Graduate,2023-11-07
CUST-0079,34.0,Male,East,110245.33,Post-Graduate,2021-02-11
CUST-0080,53.0,Male,East,114616.95,Post-Graduate,2019-08-18
CUST-0081,19.0,Other,North,124013.66,Secondary,2024-04-09
CUST-0082,19.0,Male,West,63644.36,Secondary,2023-06-23
CUST-0083,45.0,Female,North,58432.82,Graduate,2024-11-11
CUST-0084,51.0,Male,North,39457.5,Graduate,2021-05-05
CUST-0085,50.0,Female,East,27591.14,Post-Graduate,2023-08-28
CUST-0086,49.0,Male,South,102167.14,Secondary,2022-12-01
CUST-0087,20.0,Male,North,30028.46,Graduate,2023-12-12
CUST-0088,40.0,Male,East,,Post-Graduate,2021-01-06
CUST-0089,28.0,Male,North,93040.32,Secondary,2022-10-21
CUST-0090,47.0,Other,West,,Primary,2023-05-24
CUST-0091,43.0,Male,West,110917.27,Graduate,2021-05-15
CUST-0092,35.0,Male,South,136093.94,Secondary,2021-09-30
CUST-0093,21.0,Male,West,68293.6,Graduate,2022-04-08
CUST-0094,19.0,Male,East,112609.71,Graduate,2021-11-30
CUST-0095,19.0,Female,East,25743.23,Secondary,2020-03-29
CUST-0096,33.0,Male,East,,Graduate,2022-12-14
CUST-0097,51.0,Female,West,76949.38,Secondary,2022-03-01
CUST-0098,51.0,Male,South,138882.79,Graduate,2019-05-22
CUST-0099,29.0,Male,West,34824.51,Secondary,2020-11-08
CUST-0100,29.0,Female,North,97678.0,Graduate,2022-10-30
CUST-0101,31.0,Male,East,46810.79,Post-Graduate,2024-01-05
CUST-0102,55.0,Female,South,75525.53,Secondary,2024-07-07
CUST-0103,54.0,,North,,Secondary,2019-03-11
CUST-0104,40.0,Female,South,63315.38,Secondary,2021-05-24
CUST-0105,35.0,Male,North,33409.09,Graduate,2019-10-19
CUST-0106,27.0,Male,West,46012.04,Graduate,2022-06-26
CUST-0107,47.0,Female,North,43514.33,Graduate,2023-02-25
CUST-0108,61.0,Female,South,60503.74,Graduate,2019-07-24
CUST-0109,21.0,Male,North,,Primary,2024-01-25
CUST-0110,48.0,Female,West,64356.68,Post-Graduate,2021-09-07
CUST-0111,56.0,Female,North,17712.13,Primary,2020-03-14
CUST-0112,,Female,North,69878.97,Graduate,2020-03-14
CUST-0113,46.0,Male,East,38948.44,Primary,2025-01-03
CUST-0114,42.0,Male,East,50809.62,Post-Graduate,2024-07-05
CUST-0115,19.0,Male,North,12441.96,Secondary,2021-02-05
CUST-0116,59.0,Female,South,68750.35,Secondary,2020-12-09
CUST-0117,19.0,Female,East,37095.23,Graduate,2019-07-31
CUST-0118,46.0,Female,South,,Graduate,2024-08-23
CUST-0119,34.0,Female,South,107207.2,Secondary,2024-03-03
CUST-0120,61.0,Male,North,47712.4,Post-Graduate,2022-09-15
CUST-0121,,,North,1500.0,Primary,2024-04-11
CUST-0122,43.0,Female,South,91094.34,Graduate,2021-09-29
CUST-0123,53.0,Female,East,52213.43,Graduate,2024-10-08
CUST-0124,28.0,Female,West,,Secondary,2019-05-25
CUST-0125,27.0,Female,North,39502.12,Graduate,2020-10-01
CUST-0126,22.0,Male,East,40651.0,Secondary,2023-04-08
CUST-0127,46.0,Female,West,79658.32,Secondary,2019-02-16
CUST-0128,34.0,Female,East,155928.32,Graduate,2020-12-15
CUST-0129,52.0,Female,East,45196.66,Secondary,2023-10-26
CUST-0130,59.0,Male,North,132914.9,Graduate,2022-05-28
CUST-0131,18.0,Female,West,47304.47,Post-Graduate,2024-10-12
CUST-0132,48.0,Female,West,57713.17,Primary,2019-01-07
CUST-0133,32.0,Female,West,72807.94,Graduate,2020-04-05
CUST-0134,19.0,Female,West,38602.92,Secondary,2021-01-29
CUST-0135,32.0,Female,East,,Primary,2021-02-13
CUST-0136,19.0,Male,East,71577.12,Graduate,2023-03-23
CUST-0137,54.0,Female,West,28041.51,Post-Graduate,2023-10-11
CUST-0138,18.0,Male,West,61295.66,Secondary,2023-11-12
CUST-0139,21.0,Male,East,24478.2,Graduate,2022-06-29
CUST-0140,25.0,Female,East,96126.31,Secondary,2024-02-10
CUST-0141,50.0,Male,North,43515.7,Graduate,2022-07-18
CUST-0142,42.0,Male,North,55440.33,Secondary,2020-04-05
CUST-0143,53.0,,South,72041.68,Graduate,2021-08-05
CUST-0144,48.0,Male,South,34499.03,Graduate,2024-07-11
CUST-0145,62.0,Female,East,41614.72,Secondary,2021-08-12
CUST-0146,28.0,Female,North,49816.88,Graduate,2024-05-01
CUST-0147,47.0,Female,South,57155.46,Post-Graduate,2021-11-22
CUST-0148,,Male,West,81415.62,Graduate,2020-10-10
CUST-0149,61.0,Male,West,67028.77,Graduate,2023-03-07
CUST-0150,57.0,Female,East,1500.0,Post-Graduate,2019-03-08
CUST-0151,48.0,Female,North,88762.54,Graduate,2024-09-22
CUST-0152,55.0,Male,North,43346.16,Secondary,2021-04-23
CUST-0153,30.0,Female,East,62542.58,Graduate,2020-12-27
CUST-0154,62.0,,West,17983.34,Graduate,2019-01-07
CUST-0155,53.0,Male,South,74791.24,Post-Graduate,2021-01-17
CUST-0156,52.0,Female,South,100356.73,Post-Graduate,2022-01-31
CUST-0157,36.0,Male,West,30647.26,Post-Graduate,2022-05-11
CUST-0158,44.0,,East,34975.95,Graduate,2020-10-02
CUST-0159,49.0,Female,North,77680.62,Secondary,2020-11-27
CUST-0160,33.0,Female,South,81511.92,Graduate,2023-07-12
CUST-0161,43.0,Male,East,55019.54,Graduate,2023-11-08
CUST-0162,36.0,Male,West,58033.65,Secondary,2019-11-28
CUST-0163,32.0,Female,West,41353.62,Graduate,2023-01-01
CUST-0164,56.0,Female,East,74763.07,Post-Graduate,2023-03-03
CUST-0165,21.0,Male,East,,Primary,2023-11-14
CUST-0166,,Male,East,66608.29,Secondary,2023-08-05
CUST-0167,62.0,Female,South,45243.63,Post-Graduate,2021-01-08
CUST-0168,55.0,Male,North,26858.54,Graduate,2022-06-24
CUST-0169,30.0,Male,West,41141.7,Secondary,2019-05-06
CUST-0170,19.0,Female,North,39672.97,Secondary,2024-01-15
CUST-0171,23.0,Male,South,106962.2,Secondary,2022-04-21
CUST-0172,28.0,Male,South,29319.22,Graduate,2021-10-08
CUST-0173,64.0,Male,North,57487.25,Graduate,2020-02-03
CUST-0174,60.0,Female,West,81658.25,Primary,2023-09-05
CUST-0175,54.0,Male,South,40847.11,Post-Graduate,2024-06-12
CUST-0176,21.0,Female,East,114479.94,Post-Graduate,2023-11-22
CUST-0177,40.0,Female,West,108019.51,Secondary,2024-01-05
CUST-0178,23.0,Female,North,22786.69,Secondary,2021-07-16
CUST-0179,29.0,Male,South,140048.5,Post-Graduate,2020-10-02
CUST-0180,37.0,Female,North,54204.11,Secondary,2019-04-22
CUST-0181,53.0,Male,East,84769.1,Primary,2021-01-14
CUST-0182,52.0,Male,South,45829.45,Secondary,2019-11-09
CUST-0183,57.0,Male,West,77500.46,Graduate,2019-09-07
CUST-0184,29.0,Male,South,64081.0,Primary,2021-08-20
CUST-0185,18.0,Female,South,96476.04,Secondary,2021-05-09
CUST-0186,,Male,West,40989.53,Post-Graduate,2022-11-10
CUST-0187,54.0,Male,North,58893.72,Post-Graduate,2019-06-02
CUST-0188,61.0,Male,North,107755.81,Secondary,2023-08-10
CUST-0189,19.0,Female,West,50745.5,Post-Graduate,2020-07-10
CUST-0190,44.0,Male,South,50919.7,Graduate,2024-05-04
CUST-0191,39.0,Female,West,,Secondary,2021-06-04
CUST-0192,34.0,Male,East,,Graduate,2023-10-21
CUST-0193,63.0,Female,North,61135.9,Post-Graduate,2024-05-13
CUST-0194,31.0,Female,South,60449.61,Secondary,2021-08-16
CUST-0195,33.0,Male,South,86568.75,Graduate,2022-07-11
